Country,Books,Book1,Title1,Author1,Book2,Title2,Author2,Book3,Title3,Author3
Latvia,David Bezmozgis The Free World / Agate Nesaule A Woman in Amber / Inga Zolude A Solace for Adam’s Tree / Sandra Kalniete With Dance Shoes in Siberian Snows / Janis Klidzejs The Child of Man (translation sought),David Bezmozgis The Free World,,,Agate Nesaule A Woman in Amber,,,Inga Zolude A Solace for Adam’s Tree,,
Lebanon,Joumana Haddad I Killed Scheherazade / Elias Khoury Yalo; Gate of the Sun / Hanan al-Shaykh One Thousand and One Nights; The Locust and the Bird / Jabbour Douhaiy June Rain / Alexandra Chreiteh Always Coca-Cola / Iman Humaydan Wild Mulberries / Amin Maalouf Samarkand; Leo the African / Rashid al-Daif Dear Mr Kawabata / Amin al Rihani / Gibran Khalil Gibran / Najwa Barakat Oh Salaam!,Joumana Haddad I Killed Scheherazade,,,Elias Khoury Yalo; Gate of the Sun,,,Hanan al-Shaykh One Thousand and One Nights; The Locust and the Bird,,
Lesotho,Thomas Mofolo Chaka / AS Mopeli-Paulus Blanket Boy’s Moon; The World and the Cattle / Morabo Morojele How We Buried Puso / Various Basali! Stories by and about women in Lesotho,Thomas Mofolo Chaka,,,AS Mopeli-Paulus Blanket Boy’s Moon; The World and the Cattle,,,Morabo Morojele How We Buried Puso,,
Liberia,Helene Cooper The House at Sugar Beach / Ellen Johnson Sirleaf This Child Will Be Great / Mardia Stone Konkai: Living Between Two Worlds,Helene Cooper The House at Sugar Beach,,,Ellen Johnson Sirleaf This Child Will Be Great,,,Mardia Stone Konkai: Living Between Two World,,
Libya,Hisham Matar In the Country of Men; Anatomy of a Disappearance / Ibrahim Al-Khoni Anubis: A Desert Novel; Gold Dust; The Animists; The Bleeding of the Stone; The Puppet; The Seven Veils of Seth / Ahmed Fagi Homeless Rats; 30 Short Stories,Hisham Matar In the Country of Men; Anatomy of a Disappearance,,,Ibrahim Al-Khoni Anubis: A Desert Novel; Gold Dust; The Animists; The Bleeding of the Stone; The Puppet; The Seven Veils of Seth,,,Ahmed Fagi Homeless Rats; 30 Short Storie,,
Liechtenstein,Iren Nigg / Stefan Sprenger / Heinrich Harrer Seven Years in Tibet / CC Bergius The Noble Forger,Iren Nigg,,,Stefan Sprenger,,,Heinrich Harrer Seven Years in Tibet,,
Lithuania,"Laura Sintija ?erniauskait? / Various No Men, No Cry / Ricardas Gavelis Vilnius Poker / Jonas Mekas / Juozas Baltusis / Andrius Tapinas Hour of the Wolf / Balys Sruoga Forest of the Gods / Antanas Šk?ma The White Shroud / Laimonas Briedis Vilnius: City of Strangers",Laura Sintija ?erniauskait?,,,"Various No Men, No Cry",,,Ricardas Gavelis Vilnius Poker,,
Luxembourg,Jean Back Amateur / Robi Gottlieb-Cahen Minute Stories,Jean Back Amateur,,,Robi Gottlieb-Cahen Minute Storie,,,None,,
Macedonia,Rumena Bužarovska Scribbles; Wisdom Tooth / Goce Smilevski Sigmund Freud’s Sister; Conversation with Spinoza / Elizabeta Bakovska On the way to Damascus,Rumena Bužarovska Scribbles; Wisdom Tooth,,,Goce Smilevski Sigmund Freud’s Sister; Conversation with Spinoza,,,Elizabeta Bakovska On the way to Damascu,,
Madagascar,ed. Jacques Bourgeacq and Liliane Ramarosoa Voices from Madagascar / Naivo Beyond the Rice Fields,ed. Jacques Bourgeacq and Liliane Ramarosoa Voices from Madagascar,,,Naivo Beyond the Rice Field,,,None,,
Malawi,Samson Kambalu The Jive Talker / Aubrey Kachingwe No Easy Task,Samson Kambalu The Jive Talker,,,Aubrey Kachingwe No Easy Tas,,,None,,
Malaysia,Shih-Li Kow Ripples and Other Stories / A Samad Said / Adibah Amin This End of The Rainbow / Dina Zaman King of the Sea,Shih-Li Kow Ripples and Other Stories,,,A Samad Said,,,Adibah Amin This End of The Rainbow,,
Maldives,Abdullah Sadiq Dhon Hiyala and Ali Fulhu,Abdullah Sadiq Dhon Hiyala and Ali Fulh,,,None,,,None,,
Mali,Amadou Hampâté Bâ The Strange Destiny of Wangrin / Yambo Ouloguem Bound to Violence,Amadou Hampâté Bâ The Strange Destiny of Wangrin,,,Yambo Ouloguem Bound to Violenc,,,None,,
